,code site,lat,lon
340,FR16508,47.8144,7.1047
341,FR15018,45.360176,5.589419
342,FR12045,43.094994,-0.052394
343,FR27010,45.4609,5.181081
344,FR30027,48.565445,6.129578
345,FR02007,43.36069,5.058139
346,FR04069,48.54139,2.661389
347,FR41024,42.236027,9.190028
348,FR23242,47.46699,-0.554686
349,FR07009,45.772167,3.0875
350,FR35005,46.17362,1.873024
351,FR26035,47.13723,4.950573
352,FR27011,45.344078,4.807481
353,FR12051,44.545853,2.2257
354,FR20019,45.75836,4.886214
355,FR04017,48.88139,2.278056
356,FR36005,44.520744,5.089872
357,FR35027,45.842205,1.259689
358,FR15048,45.2797,5.8822
359,FR08616,43.8299,4.36199
360,FR03031,43.708584,5.758152
361,FR08252,44.054474,4.697408
362,FR25502,49.385,1.0187
363,FR15039,45.158363,5.703764
364,FR20049,45.96141,4.465711
365,FR82043,47.147232,5.556211
366,FR18089,49.435932,2.084292
367,FR24018,43.835785,5.786131
368,FR23236,47.6964,-0.0736
369,FR22014,49.19539,6.957444
370,FR38020,-21.022112,55.266773
371,FR23107,47.252777,-1.573333
372,FR03071,43.13111,5.924184
373,FR07060,45.76411,3.046111
374,FR02006,43.358982,5.023388
375,FR22009,49.165726,6.716886
376,FR05074,49.48963,0.100703
377,FR12015,43.093613,0.743611
378,FR04331,48.985523,1.754142
379,FR10132,50.61048,1.99145
380,FR15046,45.18069,5.720625
381,FR05078,49.4983,0.142706
382,FR07022,46.652668,3.600667
383,FR23174,47.98895,0.19605
384,FR39018,14.755003,-61.17883
385,FR34042,48.439304,1.468778
386,FR08617,43.9254,4.26581
387,FR03002,43.29005,5.400252
388,FR23177,47.788334,-0.444756
389,FR07010,46.344,2.598
390,FR19002,48.10861,-1.66586
391,FR82210,47.2458,6.1836
392,FR31040,44.50878,0.142695
393,FR19501,48.11825,-1.67204
394,FR05040,49.415108,0.2437
395,FR21060,49.117195,-0.169666
396,FR36019,45.0425,5.0443
397,FR34032,47.08278,2.405333
398,FR04014,48.837223,2.3939
399,FR12055,43.92213,2.146844
400,FR01020,49.358337,6.156942
401,FR04322,48.8603,1.6767
402,FR09202,46.159,-1.145999
403,FR10027,50.96156,1.8739
404,FR35004,45.158737,1.537259
405,FR03062,43.127476,5.927086
406,FR02035,43.330868,5.151234
407,FR03080,43.949673,4.804341
408,FR08020,43.6758,4.08838
409,FR01010,49.164165,6.186392
410,FR01014,48.915,6.058336
411,FR04179,48.830387,2.269889
412,FR34038,46.814693,2.610069
413,FR25045,49.916363,0.957178
414,FR21041,49.278324,-0.247074
415,FR31032,44.192223,0.623889
416,FR05083,49.50273,0.232486
417,FR33305,46.211666,5.226389
418,FR09305,46.33388,-0.471878
419,FR39003,14.603497,-61.041206
420,FR07039,45.774727,3.062978
421,FR34047,48.760887,1.233639
422,FR24024,44.895805,6.635561
423,FR04101,48.816387,2.5175
424,FR21038,49.64225,-1.624361
425,FR01092,49.117123,6.856736
426,FR28033,50.48972,2.66642
427,FR16040,48.575985,7.727478
428,FR31001,44.86121,-0.58037
429,FR04145,48.84639,2.189444
430,FR09010,46.655334,0.376236
431,FR01019,49.36861,6.160831
432,FR40009,4.920833,-52.321945
433,FR04098,48.84028,2.635278
434,FR27004,45.52597,4.875408
435,FR82041,47.0426,5.400944
436,FR16038,48.570374,7.766331
437,FR21040,49.11639,-1.084722
438,FR23181,47.27313,-2.223172
439,FR01061,49.3331,6.1147
440,FR02001,43.486233,5.171939
441,FR19019,48.12659,-1.68606
442,FR82021,47.630756,6.858944
443,FR82006,47.2474,6.015419
444,FR07034,45.775696,3.09625
445,FR82070,47.351288,6.359722
446,FR20004,45.755318,4.820331
447,FR23157,47.146088,-1.690269
448,FR23140,47.204357,-1.552914
449,FR38010,-20.943007,55.2906
450,FR02026,43.584694,5.006452
451,FR41004,42.53583,9.475972
452,FR05080,49.50362,0.266872
453,FR25011,49.383133,1.025758
454,FR27007,45.60822,5.270872
455,FR33121,45.675,6.389722
456,FR04023,49.04639,2.043056
457,FR25037,49.441463,1.082656
458,FR34066,48.00145,2.72618
459,FR32002,46.821056,4.835083
460,FR03030,43.453583,5.466672
461,FR05500,49.4989,0.2296
462,FR37007,16.25066,-61.527794
463,FR82020,47.640667,6.859278
464,FR21050,48.645,-0.458333
465,FR18057,49.17493,3.260819
466,FR82012,47.538193,6.868361
467,FR09301,46.824368,-0.135461
468,FR14048,47.9542,5.7491
469,FR04059,48.93722,2.361667
470,FR23149,47.28616,-2.032447
471,FR16017,48.919357,8.158458
472,FR50224,42.69587,2.888483
473,FR06003,50.37822,3.06586
474,FR11033,50.58859,3.11598
475,FR37006,16.23674,-61.5341
476,FR20060,45.7036,4.8836
477,FR16068,48.081696,7.364589
478,FR04038,48.581944,1.883333
479,FR16060,47.594913,7.568175
480,FR03048,43.55578,5.461232
481,FR82060,47.62002,6.157642
482,FR14032,48.299168,4.117222
483,FR25055,49.92049,1.047892
484,FR25040,49.40619,1.15515
485,FR31043,43.470238,-1.553876
486,FR26007,47.34139,5.046944
487,FR12039,43.56158,1.393261
488,FR22007,49.166,6.734
489,FR11030,50.532032,2.839
490,FR08508,43.724606,4.246406
491,FR34054,47.170166,1.409694
492,FR31026,43.838875,-0.81203
493,FR26001,47.31861,5.041389
494,FR25505,49.00922,1.15669
495,FR04173,48.8059,3.084158
496,FR03043,43.305286,5.394716
497,FR38021,-21.032139,55.232563
498,FR19033,47.64892,-2.76399
499,FR21016,49.17508,-0.353563
500,FR30024,48.68838,6.221456
501,FR31034,45.012222,-0.529722
502,FR25050,49.78122,1.345083
503,FR03069,43.119736,6.131319
504,FR02021,43.331245,5.117696
505,FR07058,46.34072,2.593945
506,FR24039,43.933475,5.711809
507,FR34025,47.419083,0.682944
508,FR04051,48.95139,2.223611
509,FR31006,44.841373,-0.651068
510,FR03068,43.12682,5.921605
511,FR12038,43.635967,1.429497
512,FR26016,48.200436,3.2773
513,FR08204,43.8292,4.64295
514,FR14022,48.962223,4.36
515,FR07053,45.780434,3.111592
516,FR34061,47.594257,1.302667
517,FR23124,46.656624,-0.743381
518,FR01021,49.394444,6.201392
519,FR40007,4.84816,-52.3238
520,FR31022,43.40986,-0.673155
521,FR34048,48.449158,1.492469
522,FR19017,48.08965,-1.65911
523,FR26043,47.31546,5.040202
524,FR07057,46.561974,3.3406389
525,FR23239,47.18594,-1.591504
526,FR29421,45.46672,4.389781
527,FR11026,50.775482,3.12568
528,FR12021,43.623608,1.438531
529,FR03006,43.27645,5.39736
530,FR23143,47.28472,-2.210833
531,FR30022,48.072002,6.873001
532,FR16512,48.81542,7.797019
533,FR07018,45.030003,3.876
534,FR04001,48.8225,2.2692
535,FR11016,50.67003,3.07656
536,FR09203,46.161633,-1.211229
537,FR03067,43.39873,6.075611
538,FR41060,42.70283,9.446389
539,FR09016,45.60882,0.099722
540,FR05503,49.4811,0.574611
541,FR02012,43.50615,4.982898
542,FR02010,43.500786,4.853818
543,FR02018,43.548313,5.183108
544,FR25036,49.442356,1.093789
545,FR82003,47.221973,5.971556
546,FR38018,-20.9498,55.313828
547,FR24003,43.71009,7.265102
548,FR12030,43.587345,1.444003
549,FR28034,50.62587,2.473341
550,FR14008,49.90778,4.63
551,FR25032,49.291107,1.007433
552,FR50060,44.012856,1.3753052
553,FR21021,49.147224,0.227222
554,FR06007,50.27936,3.97691
555,FR38091,-20.928686,55.33258
556,FR34034,47.222027,2.073
557,FR22011,49.158413,6.731664
558,FR30028,48.051117,7.011114
559,FR12008,43.599976,1.442136
560,FR12050,44.560543,2.226169
561,FR05010,49.528927,0.358733
562,FR12095,44.35699,2.5707042
563,FR24033,44.555195,6.073015
564,FR34009,47.9531,1.8728
565,FR07056,44.98377,4.226006
566,FR09017,45.694725,-0.323361
567,FR36021,44.569443,5.278972
568,FR04131,48.873333,2.330278
569,FR12052,43.230297,0.062339
570,FR12040,43.556374,1.403964
571,FR08712,42.7198,2.83988
572,FR18008,49.863,3.307
573,FR33105,45.56943,5.932986
574,FR31057,44.84341,-0.50698
575,FR10030,50.71703,1.605913
576,FR33111,45.274723,6.349722
577,FR23110,47.26411,-2.250153
578,FR10013,50.99599,2.21466
579,FR04058,48.925278,2.356667
580,FR12049,44.555225,2.219639
581,FR39001,14.6061,-61.0656
582,FR22004,49.146526,6.815419
583,FR33113,45.209366,6.480326
584,FR07043,45.04286,3.888806
585,FR21017,49.289444,-0.257778
